"","Package","LibPath","Version","Priority","Depends","Imports","LinkingTo","Suggests","Enhances","License","License_is_FOSS","License_restricts_use","OS_type","MD5sum","NeedsCompilation","Built"
"backports","backports","/media/ag-cherrmann/echernova/test/renv/library/R-4.0/x86_64-pc-linux-gnu","1.4.1",NA,"R (>= 3.0.0)",NA,NA,NA,NA,"GPL-2 | GPL-3",NA,NA,NA,NA,"yes","4.0.2"
"base64enc","base64enc","/media/ag-cherrmann/echernova/test/renv/library/R-4.0/x86_64-pc-linux-gnu","0.1-3",NA,"R (>= 2.9.0)",NA,NA,NA,"png","GPL-2 | GPL-3",NA,NA,NA,NA,"yes","4.0.2"
"BiocStyle","BiocStyle","/media/ag-cherrmann/echernova/test/renv/library/R-4.0/x86_64-pc-linux-gnu","2.18.1",NA,NA,"bookdown, knitr (>= 1.30), rmarkdown (>= 1.2), stats, utils,
yaml, BiocManager",NA,"BiocGenerics, RUnit, htmltools",NA,"Artistic-2.0",NA,NA,NA,NA,"no","4.0.2"
"bookdown","bookdown","/media/ag-cherrmann/echernova/test/renv/library/R-4.0/x86_64-pc-linux-gnu","0.27",NA,NA,"htmltools (>= 0.3.6), knitr (>= 1.38), rmarkdown (>= 2.14),
jquerylib, xfun (>= 0.29), tinytex (>= 0.12), yaml (>= 2.1.19)",NA,"bslib (>= 0.2.4), downlit (>= 0.4.0), htmlwidgets, jsonlite,
rstudioapi, miniUI, rsconnect (>= 0.4.3), servr (>= 0.13),
shiny, tibble, testit (>= 0.9), tufte, xml2, webshot, testthat
(>= 3.1.0), withr (>= 2.3.0)",NA,"GPL-3",NA,NA,NA,NA,"no","4.0.2"
"bslib","bslib","/media/ag-cherrmann/echernova/test/renv/library/R-4.0/x86_64-pc-linux-gnu","0.3.1",NA,"R (>= 2.10)","grDevices, htmltools (>= 0.5.2), jsonlite, sass (>= 0.4.0),
jquerylib (>= 0.1.3), rlang",NA,"shiny (>= 1.6.0), rmarkdown (>= 2.7), thematic, knitr,
testthat, withr, rappdirs, curl, magrittr",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.0.2"
"ButchR","ButchR","/media/ag-cherrmann/echernova/test/renv/library/R-4.0/x86_64-pc-linux-gnu","1.0",NA,"R (>= 3.5.0)","data.table, reshape2, ggplot2, cowplot, RcppCNPy, nnls,
riverplot, caret, digest, tidyr, dplyr, cluster, reticulate,
rlang, grDevices, matrixStats, methods",NA,"circlize, knitr, rmarkdown, testthat",NA,"GPL-3 + file LICENSE",NA,NA,NA,NA,"no","4.0.2"
"caret","caret","/media/ag-cherrmann/echernova/test/renv/library/R-4.0/x86_64-pc-linux-gnu","6.0-92",NA,"ggplot2, lattice (>= 0.20), R (>= 3.2.0)","e1071, foreach, grDevices, methods, ModelMetrics (>= 1.2.2.2),
nlme, plyr, pROC, recipes (>= 0.1.10), reshape2, stats, stats4,
utils, withr (>= 2.0.0)",NA,"BradleyTerry2, covr, Cubist, dplyr, earth (>= 2.2-3),
ellipse, fastICA, gam (>= 1.15), ipred, kernlab, klaR, knitr,
MASS, Matrix, mda, mgcv, mlbench, MLmetrics, nnet, pamr, party
(>= 0.9-99992), pls, proxy, randomForest, RANN, rmarkdown,
rpart, spls, subselect, superpc, testthat (>= 0.9.1), themis
(>= 0.1.3)",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.0.2"
"checkmate","checkmate","/media/ag-cherrmann/echernova/test/renv/library/R-4.0/x86_64-pc-linux-gnu","2.1.0",NA,"R (>= 3.0.0)","backports (>= 1.1.0), utils",NA,"R6, fastmatch, data.table (>= 1.9.8), devtools, ggplot2,
knitr, magrittr, microbenchmark, rmarkdown, testthat (>=
3.0.4), tinytest (>= 1.1.0), tibble",NA,"BSD_3_clause + file LICENSE",NA,NA,NA,NA,"yes","4.0.2"
"circlize","circlize","/media/ag-cherrmann/echernova/test/renv/library/R-4.0/x86_64-pc-linux-gnu","0.4.15",NA,"R (>= 3.0.0), graphics","GlobalOptions (>= 0.1.2), shape, grDevices, utils, stats,
colorspace, methods, grid",NA,"knitr, dendextend (>= 1.0.1), ComplexHeatmap (>= 2.0.0),
gridBase, png, markdown, bezier, covr, rmarkdown",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.0.2"
"Ckmeans.1d.dp","Ckmeans.1d.dp","/media/ag-cherrmann/echernova/test/renv/library/R-4.0/x86_64-pc-linux-gnu","4.3.4",NA,NA,"Rcpp, Rdpack (>= 0.6-1)","Rcpp","testthat, knitr, rmarkdown, RColorBrewer",NA,"LGPL (>= 3)",NA,NA,NA,NA,"yes","4.0.2"
"cli","cli","/media/ag-cherrmann/echernova/test/renv/library/R-4.0/x86_64-pc-linux-gnu","3.3.0",NA,"R (>= 3.4)","glue (>= 1.6.0), utils",NA,"asciicast, callr, covr, digest, grDevices, htmltools,
htmlwidgets, knitr, methods, mockery, processx, ps (>=
1.3.4.9000), rlang, rmarkdown, rstudioapi, shiny, testthat,
tibble, whoami, withr",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.0.2"
